,model1_fc1,model1_fc2
255,44912.765625,1042.74853515625
256,44926.9609375,1043.525634765625
257,48954.62109375,1072.8397216796875
258,48954.62109375,1072.8397216796875
259,49200.546875,1074.053466796875
260,49511.06640625,1074.0341796875
261,49821.77734375,1075.0552978515625
262,50007.8671875,1076.3922119140625
263,50886.65234375,1083.93359375
264,50886.65234375,1083.93359375
265,50921.05078125,1084.374755859375
266,50958.9140625,1085.0723876953125
267,51001.375,1085.9345703125
268,51046.01171875,1086.42724609375
269,51269.390625,1090.0560302734375
270,51269.390625,1090.0560302734375
271,51281.6328125,1090.2723388671875
272,51293.7578125,1090.55859375
273,51314.453125,1091.0814208984375
274,51332.71875,1091.572509765625
275,51445.546875,1093.8199462890625
276,51445.546875,1093.8199462890625
277,51451.82421875,1093.93798828125
278,51458.34765625,1094.149169921875
279,51469.84375,1094.520263671875
280,51484.15625,1094.872314453125
281,51564.3515625,1096.9281005859375
282,51564.3515625,1096.9281005859375
283,51568.3203125,1097.049560546875
284,51575.6640625,1097.23486328125
285,51584.1171875,1097.511474609375
286,51591.421875,1097.8134765625
287,51671.64453125,1099.7044677734375
288,51671.64453125,1099.7044677734375
289,51675.3984375,1099.8189697265625
290,51682.51953125,1099.96826171875
291,51692.19140625,1100.199462890625
292,51704.109375,1100.4676513671875
293,51771.8125,1102.400146484375
294,51771.8125,1102.400146484375
295,51775.875,1102.517578125
296,51781.4375,1102.6793212890625
297,51789.3515625,1102.96826171875
298,51800.22265625,1103.250244140625
299,51870.4375,1105.154541015625
300,51870.4375,1105.154541015625
301,51873.44140625,1105.274169921875
302,51877.3671875,1105.441650390625
303,51887.953125,1105.7161865234375
304,51895.8125,1105.986572265625
305,51966.734375,1107.90478515625
306,51966.734375,1107.90478515625
307,51970.4140625,1108.0250244140625
308,51975.71875,1108.1890869140625
309,51986.3671875,1108.4322509765625
310,51996.44140625,1108.744873046875
311,52062.9921875,1110.733154296875
312,52062.9921875,1110.733154296875
313,52068.28125,1110.851806640625
314,52073.765625,1111.032470703125
315,52081.0078125,1111.2938232421875
316,52092.40234375,1111.6019287109375
317,52163.36328125,1113.64990234375
318,52163.36328125,1113.64990234375
319,52168.22265625,1113.7955322265625
320,52174.3828125,1113.98779296875
321,52183.25,1114.253173828125
322,52191.3828125,1114.5399169921875
323,52261.55078125,1116.620849609375
324,52261.55078125,1116.620849609375
325,52266.2421875,1116.74951171875
326,52272.1171875,1116.919677734375
327,52285.1640625,1117.2276611328125
328,52294.4765625,1117.5384521484375
329,52364.0078125,1119.661865234375
330,52364.0078125,1119.661865234375
331,52368.66015625,1119.79931640625
332,52374.796875,1119.989501953125
333,52383.2265625,1120.2978515625
334,52395.578125,1120.6395263671875
335,52464.99609375,1122.80322265625
336,52464.99609375,1122.80322265625
337,52470.2421875,1122.95068359375
338,52477.515625,1123.1527099609375
339,52487.28125,1123.465576171875
340,52495.2109375,1123.81689453125
341,52569.828125,1126.0333251953125
342,52569.828125,1126.0333251953125
343,52576.01171875,1126.1842041015625
344,52583.11328125,1126.393798828125
345,52591.75,1126.73388671875
346,52605.34375,1127.072265625
347,52678.98828125,1129.427978515625
348,52678.98828125,1129.427978515625
349,52682.6796875,1129.5831298828125
350,52688.46875,1129.7880859375
351,52698.4296875,1130.1083984375
352,52710.109375,1130.467529296875
353,52786.55078125,1132.8887939453125
354,52786.55078125,1132.8887939453125
355,52791.58984375,1133.052978515625
356,52798.9375,1133.275390625
357,52809.078125,1133.6363525390625
358,52821.375,1134.0455322265625
359,52897.96484375,1136.450927734375
