,model1_fc1,model1_fc2
0,14310.9345703125,159.77154541015625
1,14672.07421875,187.6339111328125
2,15525.2109375,234.69659423828125
3,16292.224609375,261.8326110839844
4,16781.203125,273.7713623046875
5,19261.16015625,340.0225524902344
6,19261.16015625,340.0225524902344
7,19386.00390625,343.92828369140625
8,19567.8828125,348.99261474609375
9,19920.6015625,356.8125
10,20233.48828125,365.409912109375
11,21875.66015625,408.4925842285156
12,21875.66015625,408.4925842285156
13,21981.849609375,411.6399230957031
14,22149.130859375,415.3128662109375
15,22389.50390625,421.72723388671875
16,22619.341796875,428.3525695800781
17,23946.564453125,460.27435302734375
18,23946.564453125,460.27435302734375
19,24042.181640625,463.01434326171875
20,24156.8515625,466.2638854980469
21,24332.15234375,471.8092956542969
22,24536.80078125,476.67529296875
23,25725.953125,504.601318359375
24,25725.953125,504.601318359375
25,25802.36328125,506.48297119140625
26,25907.8515625,509.59942626953125
27,26076.0078125,514.3604125976562
28,26232.064453125,518.4544677734375
29,27335.8203125,543.0728759765625
30,27335.8203125,543.0728759765625
31,27398.8046875,544.4764404296875
32,27494.27734375,547.0271606445312
33,27680.0234375,552.235595703125
34,27845.390625,556.480712890625
35,28817.34765625,578.5604248046875
36,28817.34765625,578.5604248046875
37,28877.029296875,580.107421875
38,28945.56640625,582.301513671875
39,29080.376953125,585.65185546875
40,29216.857421875,589.5181884765625
41,30082.61328125,610.606201171875
42,30082.61328125,610.606201171875
43,30149.27734375,612.019287109375
44,30225.779296875,614.0111083984375
45,30338.0625,617.7628173828125
46,30442.99609375,621.2162475585938
47,31217.375,641.3609619140625
48,31217.375,641.3609619140625
49,31270.4375,642.7774658203125
50,31330.1484375,644.605224609375
51,31427.080078125,648.0833740234375
52,31520.04296875,651.2183837890625
53,32225.54296875,669.3779907226562
54,32225.54296875,669.3779907226562
55,32276.98828125,670.7481689453125
56,32334.78515625,672.5869140625
57,32422.51953125,675.8514404296875
58,32513.26953125,678.8345336914062
59,33133.7265625,696.0855712890625
60,33133.7265625,696.0855712890625
61,33176.7890625,697.3859252929688
62,33229.9296875,699.3539428710938
63,33315.1953125,702.0108642578125
64,33397.2265625,704.466552734375
65,34003.35546875,721.772705078125
66,34003.35546875,721.772705078125
67,34041.8828125,723.0137939453125
68,34089.078125,724.286865234375
69,34166.359375,726.6557006835938
70,34231.50390625,728.8756103515625
71,34660.015625,743.3872680664062
72,34660.015625,743.3872680664062
73,34697.6796875,744.4500122070312
74,34745.4140625,745.708984375
75,34817.484375,747.7518310546875
76,34861.78125,749.83447265625
77,35248.05078125,763.657470703125
78,35248.05078125,763.657470703125
79,35270.7890625,764.5726318359375
80,35302.0703125,765.7864379882812
81,35344.6171875,767.3821411132812
82,35387.625,769.186279296875
83,35745.4296875,781.9315795898438
84,35745.4296875,781.9315795898438
85,35773.2265625,783.0084228515625
86,35799.5078125,783.9122314453125
87,35879.50390625,786.4358520507812
88,35939.55859375,788.4757080078125
89,36256.78125,799.7374877929688
90,36256.78125,799.7374877929688
91,36277.109375,800.395751953125
92,36308.734375,801.4112548828125
93,36351.5703125,803.029296875
94,36397.9375,804.6466674804688
95,36663.6796875,815.2552490234375
96,36663.6796875,815.2552490234375
97,36681.1171875,815.9158935546875
98,36700.4140625,816.783447265625
99,36733.4453125,818.392822265625
100,36765.09375,819.8441772460938
101,37010.1171875,829.6762084960938
102,37010.1171875,829.6762084960938
103,37032.19140625,830.3648681640625
104,37054.0234375,831.1842041015625
105,37091.28515625,832.6690063476562
106,37124.5703125,834.0531005859375
107,37822.875,847.267333984375
108,37822.875,847.267333984375
109,37916.93359375,848.8949584960938
110,38014.02734375,850.4956665039062
111,38199.13671875,853.8143310546875
112,38403.55078125,856.2804565429688
113,40312.3359375,875.6917724609375
114,40312.3359375,875.6917724609375
115,40430.6171875,876.5612182617188
116,40577.109375,878.6109619140625
117,40782.45703125,881.2647094726562
118,40942.20703125,883.5894775390625
119,41758.5625,895.2718505859375
120,41758.5625,895.2718505859375
121,41810.4296875,896.15966796875
122,41856.9296875,897.2950439453125
123,41910.953125,898.894287109375
124,41964.4375,900.3289184570312
125,42261.3203125,908.103271484375
126,42261.3203125,908.103271484375
127,42276.53125,908.53369140625
128,42295.4765625,909.1755981445312
129,42319.29296875,909.860107421875
130,42351.546875,910.7952880859375
131,42467.2890625,916.1474609375
132,42467.2890625,916.1474609375
