,client_list,iter_list,train_losses,train_ce_losses,test_losses,test_accuracy_list
0,9,0,1.6482198134463293e-07,1.6482198134463293e-07,12.748119692993164,57.45
1,8,0,2.2639425628789552e-07,2.2639425628789552e-07,8.081324768066406,58.64
2,0,0,1.8346247681298742e-07,1.8346247681298742e-07,3.8386337814331055,78.78
3,16,0,3.759756440862129e-07,3.759756440862129e-07,7.646735469055176,52.06
4,18,0,1.194481859226265e-07,1.194481859226265e-07,8.129897834777832,60.1
5,12,0,4.827087758349198e-07,4.827087758349198e-07,6.375421726989746,55.99
6,1,0,0.0035748078057098497,0.0035748078057098497,11.038762713623047,66.75
7,11,0,1.9425513760355495e-07,1.9425513760355495e-07,4.599772357940674,70.26
8,14,0,2.092920957731346e-09,2.092920957731346e-09,18.826720556640623,21.13
9,13,0,1.1978241113516e-07,1.1978241113516e-07,8.767404243469239,64.02
10,19,0,1.0560591344522769e-07,1.0560591344522769e-07,6.510190373229981,52.56
11,6,0,8.729661272803324e-07,8.729661272803324e-07,4.691865650177002,64.44
12,15,0,6.27855410302369e-07,6.27855410302369e-07,3.8745332954406737,63.98
13,10,0,0.006684322890482451,0.006684322890482451,7.713897909545898,56.99
14,2,0,8.56533247170989e-05,8.56533247170989e-05,7.034709673309326,67.3
15,7,0,0.0029233224377660694,0.0029233224377660694,6.928693271636963,69.89
16,5,0,5.117046974393219e-07,5.117046974393219e-07,6.671043618774414,49.69
17,17,0,9.765817905045038e-08,9.765817905045038e-08,11.708897839355469,40.45
18,4,0,0.015594832604511642,0.015594832604511642,6.586172352600098,68.18
19,3,0,3.2162506308331584e-07,3.2162506308331584e-07,7.6589450256347655,50.1
20,1,1,0.006212838942393252,0.006212838942393252,13.37697576904297,66.91
21,19,1,1.9786728880805186e-08,1.9786728880805186e-08,6.692842889404297,53.18
22,9,1,9.172701570483919e-09,9.172701570483919e-09,12.614612734985352,57.56
23,7,1,1.1706780530735404e-08,1.1706780530735404e-08,8.140756803894043,66.11
24,5,1,2.0166630801476038e-07,2.0166630801476038e-07,6.847607276916504,49.77
25,8,1,5.4224334726600145e-08,5.4224334726600145e-08,8.304648863220216,58.89
26,4,1,4.792333248272613e-09,4.792333248272613e-09,7.239077947235107,68.37
27,18,1,2.7074922142462006e-08,2.7074922142462006e-08,8.223054098510742,60.18
28,13,1,3.295449110177847e-08,3.295449110177847e-08,8.75383569946289,64.13
29,14,1,4.6509354616252136e-10,4.6509354616252136e-10,19.055125720214843,21.13
30,15,1,2.3465303213320865e-07,2.3465303213320865e-07,3.975065884399414,64.18
31,17,1,2.194294887306416e-08,2.194294887306416e-08,11.809289001464844,40.91
32,6,1,2.7589023833859563e-07,2.7589023833859563e-07,4.826327824401855,64.69
33,12,1,1.6687755374574693e-07,1.6687755374574693e-07,6.527039183044433,56.07
34,2,1,1.1011497261597938e-08,1.1011497261597938e-08,8.205451888275146,68.5
35,3,1,1.1520897782088927e-07,1.1520897782088927e-07,7.890442245483398,50.03
36,16,1,1.1029165568068842e-07,1.1029165568068842e-07,7.868631848144531,52.18
37,0,1,4.330375578829073e-08,4.330375578829073e-08,3.878752515029907,78.83
38,11,1,5.440423952653104e-08,5.440423952653104e-08,4.551702043151855,70.75
39,10,1,1.646970447741057e-08,1.646970447741057e-08,9.69973501739502,59.51
