,client_list,iter_list,train_losses,train_ce_losses,test_losses,test_accuracy_list
0,5,0,14.333547053958396,0.23164114944464106,1.6801814273834228,44.48
1,3,0,0.8127947258622679,0.1419671155002019,1.9466062717437744,57.95
2,2,0,0.8093609903489515,0.12482275632951594,1.6411839988708496,55.05
3,7,0,0.7394318559949334,0.06943953157884257,3.3280085594177247,50.2
4,8,0,0.7569769072228488,0.09097644838781423,2.017855167388916,63.73
5,10,0,0.6677104994887115,0.012726002307273674,4.25077791595459,34.38
6,16,0,0.7653605079042798,0.08559902945056352,1.0079211683988571,80.91
7,1,0,0.6984263672975416,0.026799899100664427,1.4957049055099487,68.58
8,17,0,0.6668369624020476,0.027044629168698396,1.4950516098022462,65.38
9,11,0,0.7193358002043851,0.052401976653989484,0.8945948329925537,75.42
10,14,0,0.7145000416523701,0.024990266464851998,0.526280453824997,83.57
11,4,0,0.7713078022163887,0.07883061782494916,0.44261249017715454,85.18
12,19,0,0.8280802662615663,0.057300080963432656,0.46449754481315614,85.03
13,13,0,0.6965486181083913,0.018297195871089016,1.9717201293945312,55.37
14,18,0,0.756872322328629,0.07500145319969423,0.5216237137317657,83.74
15,15,0,0.954810321173756,0.010030345111534904,0.8289089783668518,72.65
16,9,0,0.6581429829349014,0.006621676089223045,1.7617440773010253,61.52
17,6,0,0.7164469538955524,0.024012520773550435,0.8819378406524658,72.18
18,0,0,0.6914728353937697,0.029467728297604762,0.9985928411483764,70.3
19,12,0,0.7171117931633864,0.042674579539394915,0.44527351372241974,86.05
20,8,1,0.6722817013846295,0.02488921876627517,0.8763122476577759,77.1
21,1,1,0.6653180014171843,0.008364688221771673,0.8219758006095886,75.86
22,5,1,0.6742591339526035,0.015367619234690372,0.2941554839015007,90.22
23,7,1,0.6606775175184485,0.007820507252481708,1.2356076358795165,67.17
24,18,1,0.7006909364269626,0.03239525010508876,0.4058946723103523,88.1
25,0,1,0.655154830917917,0.009943138858256772,0.7848289640903473,77.44
26,2,1,0.6758017107570383,0.010591929874229966,0.5119820338726043,84.6
27,16,1,0.6818436613498408,0.019737467708167058,0.5332843528389931,85.04
28,12,1,0.6778681900019383,0.016848896326422887,0.5065018410682678,85.6
29,11,1,0.6671489398382373,0.012900680579722901,0.4312760509312153,87.05
30,13,1,0.6677439495345724,0.004740052450988962,1.3866062232017518,68.04
31,19,1,0.7761090168983973,0.020783229918904005,0.30426128858327867,90.87
32,14,1,0.6795681535875475,0.005020423837610193,0.22989316655099393,93.14
33,3,1,0.674217143124097,0.013934347696908532,0.26154223272204397,91.32
34,17,1,0.628491307403768,0.006189796101427667,0.3624053403794765,89.32
35,15,1,0.8116465747199146,0.0017836798464088137,0.4611633726358414,86.16
36,9,1,0.6396435903929938,0.002479348385756622,1.3625702774047852,74.33
37,4,1,0.7044229420660962,0.0236568663069645,0.24763072068095207,92.14
38,6,1,0.6865330412692983,0.006198318952334935,0.5491938905715943,82.84
39,10,1,0.6520471618419162,0.0012760125349676938,1.5306911741256715,63.1
40,3,2,0.6558185995441593,0.006584773396384226,0.2198119325995445,92.5
41,17,2,0.6129228604642314,0.0032728946381249476,0.34104858838915825,89.96
42,13,2,0.6490160190313062,0.0018284843165610983,0.9252604516983032,76.21
43,0,2,0.6376026526581575,0.004819939698959361,0.6489177638173104,81.79
44,10,2,0.6366438089909352,0.000715667836721518,1.2809704912185669,67.28
45,15,2,0.7854133243611117,0.0015444769708336502,0.6998764346122742,80.83
46,16,2,0.6543028483862071,0.009290491993856734,0.3556426286637783,89.51
47,2,2,0.6528771775799327,0.004513707858225607,0.48148156669139863,86.38
48,7,2,0.6411404125812461,0.0024406807413677426,0.7792173428058624,79.05
49,11,2,0.6450779004900434,0.005727075256536251,0.3582589099049568,89.22
50,1,2,0.6463310448027265,0.0027626817469868113,0.40792842282056807,88.1
51,4,2,0.670279745546141,0.010771559637365093,0.1739203003898263,94.79
52,12,2,0.6547966330427956,0.007056585837621089,0.2570001189261675,92.1
53,8,2,0.6424213471192723,0.007438110818280322,0.593890662407875,83.89
54,19,2,0.734965132012026,0.007955686049838904,0.16392625377476217,95.01
55,18,2,0.6611198757540795,0.009764575410273767,0.18716653278768064,94.28
56,9,2,0.6257366540742266,0.0010836294544415335,0.8940424465179443,80.86
57,5,2,0.6703367164666704,0.003400125342021457,0.25885702013671397,92.18
58,6,2,0.6677851712108951,0.003239484089315584,0.3478281269133091,88.63
59,14,2,0.6614642684524124,0.002309942229374035,0.22978191944658757,93.0
60,6,3,0.6568501470404436,0.0017008727905289988,0.3327740429788828,89.16
61,12,3,0.642584198581634,0.003736109858175492,0.20039343633055687,93.89
62,9,3,0.620411704728469,0.0006848201248728318,0.7307352648615837,83.36
63,13,3,0.6422312351739835,0.0012203287804491828,0.8752109681606293,76.77
64,5,3,0.6735632215663017,0.0023391665719586503,0.34658599603176116,90.46
65,10,3,0.62939493020831,0.0004743377576395039,0.9553127049922943,74.8
66,7,3,0.6339491876986509,0.0014063247338682628,0.7005900672435761,80.76
67,0,3,0.6277789830702118,0.0025086313080552227,0.632869915664196,82.6
68,4,3,0.6560164368992347,0.005728046234946963,0.21358782400786877,93.79
69,14,3,0.6509199090906092,0.0014670349939449414,0.19918978672027587,94.54
70,2,3,0.6417326393733703,0.0018237203350316776,0.2581780285149813,92.8
71,1,3,0.6372173352014733,0.0015729484181616073,0.32713228749930856,90.95
72,8,3,0.6305493891999578,0.003538984065040054,0.46519011899232865,87.21
73,16,3,0.6397095304239823,0.003777104971275193,0.3083765358388424,91.15
74,3,3,0.6461664421917641,0.0032781095154685515,0.15921937779933215,95.02
75,15,3,0.7636498121598779,0.0007191880515194191,0.31591938270926473,90.6
76,11,3,0.6323476915561813,0.0027788712678741053,0.2700754866689444,92.19
77,18,3,0.6461045640514743,0.00509862212404128,0.1723142079219222,94.96
78,17,3,0.6072536955849436,0.0018767230325644488,0.22584813388735056,93.75
79,19,3,0.71351832060907,0.0036754114169490052,0.14919976994823664,95.59
80,6,4,0.6522486233659525,0.0013554768131767074,0.278768483799696,91.51
81,15,4,0.7486698482785187,0.0009517155410746471,0.28263753901571037,92.35
82,12,4,0.6365605174139157,0.002549269359142443,0.16868353182971477,95.06
83,2,4,0.6365335558983127,0.001213352527061925,0.22534653778970243,93.75
84,1,4,0.632881868912042,0.0011975285283037694,0.29648717952072623,92.23
85,7,4,0.6300119205374496,0.0008723988879206003,0.5549151933908463,85.32
86,14,4,0.6470552846547719,0.0010424941133808446,0.17483881621174513,95.18
87,18,4,0.6369475979958811,0.0031694552470599453,0.15680254423171283,95.47
88,4,4,0.646403723788414,0.003099649275719296,0.17815557263717055,94.99
89,16,4,0.6321961264047815,0.0021400880108129205,0.25458349265009167,92.57
90,3,4,0.6409348180849258,0.001889553380339113,0.14289110785275697,95.73
91,11,4,0.626119331800772,0.0016864971229359161,0.23473624876886606,93.32
92,8,4,0.6234878197502458,0.001983285952867598,0.36955468373298644,90.08
93,17,4,0.6036100397212157,0.001155727330767701,0.26227462605535984,93.18
94,19,4,0.7033683296915249,0.0023627395654771954,0.15832832203134894,95.57
95,5,4,0.6730848475516462,0.0013422340297584625,0.16973155581653118,95.27
96,10,4,0.6263144504337014,0.00037985234807456843,0.709922197341919,81.58
97,0,4,0.6241083241611547,0.0014529979248532957,0.3987425276562572,89.56
98,9,4,0.617551389717358,0.00047950682549598015,0.7397545093953609,83.83
99,13,4,0.6381294216201722,0.0006138220532969652,0.8595537808418274,77.56
100,3,5,0.637337638254035,0.001425078284148484,0.14851160733886062,95.53
101,16,5,0.6276752652321308,0.0016549010756133594,0.22454670483916997,93.59
102,18,5,0.6318941294762396,0.0027401676653854307,0.13221392887309194,96.3
103,12,5,0.6328218870732087,0.0016737918074998454,0.1455365343347192,95.9
104,9,5,0.6158288782788208,0.0003585678295042014,0.6581855114087463,86.11
105,0,5,0.6207935566617344,0.0009776250556154402,0.33336449927687645,91.37
106,5,5,0.6732927988663756,0.001006850074949882,0.2288845012255013,93.81
107,2,5,0.6331974830758204,0.000802734885892975,0.1996761063132435,94.6
108,6,5,0.649497644916791,0.0009005158299220617,0.2645168083667755,92.48
109,7,5,0.6285719489665278,0.0006598866797486079,0.4559461670875549,87.81
110,14,5,0.644867456797007,0.0008667356279250738,0.16208958359658718,95.74
111,1,5,0.630284933410967,0.0008227297660446256,0.2006381165076047,94.76
112,10,5,0.6247582440162229,0.0002339731158249244,0.6641349297523499,83.01
113,15,5,0.7381646853323662,0.0004768920448021398,0.4000045077472925,89.8
114,4,5,0.6411489802335785,0.002326012349536534,0.14962176215201617,95.86
115,11,5,0.6220681488848232,0.001281241748015987,0.23751927172243595,93.19
116,8,5,0.6195348125678635,0.0013401281688146666,0.32638839169740674,91.54
117,13,5,0.6366195012027827,0.0005188879672284132,0.5481415114760398,86.36
118,17,5,0.6019759181053296,0.0009069156994708432,0.2738634163796902,92.94
