,client_list,iter_list,train_losses,train_ce_losses,test_losses,test_accuracy_list
0,13,0,3.9370816209991675e-07,3.9370816209991675e-07,5.278212568664551,56.66
1,18,0,1.4449610854640152e-09,1.4449610854640152e-09,16.922830615234375,21.12
2,0,0,1.432773748949822e-07,1.432773748949822e-07,8.528044381713867,58.42
3,15,0,3.300407655333095e-09,3.300407655333095e-09,15.879740106201172,47.06
4,9,0,2.9860643957925634e-08,2.9860643957925634e-08,12.196163171386718,48.33
5,3,0,1.4243393374802937e-08,1.4243393374802937e-08,11.900300119018555,51.58
6,5,0,2.775572732510015e-08,2.775572732510015e-08,12.613510827636718,39.7
7,6,0,2.9146525562538203e-10,2.9146525562538203e-10,16.83750952758789,19.92
8,4,0,7.538927402420948e-09,7.538927402420948e-09,11.85581689453125,56.51
9,14,0,1.787266654465593e-08,1.787266654465593e-08,10.465540658569337,53.81
10,10,0,3.0261907430447437e-08,3.0261907430447437e-08,10.339468933105469,40.91
11,17,0,1.4217929330388537e-08,1.4217929330388537e-08,7.968227183532715,63.74
12,12,0,2.8723466234071822e-08,2.8723466234071822e-08,9.971885250854493,48.36
13,8,0,1.485441877366144e-07,1.485441877366144e-07,8.115637568664551,61.09
14,7,0,3.7964741895153264e-09,3.7964741895153264e-09,16.29113521118164,48.05
15,11,0,8.615438994166123e-08,8.615438994166123e-08,9.343439140319823,59.54
16,1,0,2.9562130080788903e-08,2.9562130080788903e-08,11.366398239135743,47.85
17,16,0,3.820714138283714e-08,3.820714138283714e-08,7.7255167922973635,63.02
18,2,0,8.962899019520057e-08,8.962899019520057e-08,9.282074627685548,43.35
19,19,0,1.5593566189737298e-07,1.5593566189737298e-07,3.8471548179626467,69.1
20,2,1,1.5302510521131804e-08,1.5302510521131804e-08,9.307636752319336,43.49
21,18,1,0.0,0.0,15.978989587402344,21.12
22,7,1,0.0,0.0,16.224887341308595,47.95
23,12,1,8.561802435156024e-09,8.561802435156024e-09,9.609966537475586,48.4
24,4,1,0.0,0.0,11.62186593322754,56.52
25,6,1,0.0,0.0,18.594029498291015,19.91
26,9,1,3.1104837456172536e-09,3.1104837456172536e-09,11.54923377380371,48.56
27,15,1,0.008756077629487413,0.008756077629487413,33.31042611083984,48.16
28,13,1,1.2353892476449e-07,1.2353892476449e-07,5.354573495483399,56.81
29,3,1,2.8091136933639125e-09,2.8091136933639125e-09,11.04672395324707,51.62
30,19,1,2.576902887287096e-08,2.576902887287096e-08,3.925223713684082,69.46
31,1,1,1.182485203231556e-09,1.182485203231556e-09,10.92293932800293,47.89
32,5,1,1.5593105238820307e-09,1.5593105238820307e-09,12.240884991455077,39.72
33,11,1,1.643407438193538e-08,1.643407438193538e-08,9.147629998779298,59.76
34,10,1,0.013568515172349742,0.013568515172349742,15.740703884887695,40.08
35,17,1,1.0730512702180028e-09,1.0730512702180028e-09,7.472797303771973,64.45
36,14,1,8.377812442807467e-10,8.377812442807467e-10,9.808523550415039,54.03
37,16,1,1.0078261703346806e-08,1.0078261703346806e-08,6.388770880126953,63.23
38,0,1,2.966093024141737e-08,2.966093024141737e-08,7.9093816925048825,58.77
39,8,1,2.836781363025622e-08,2.836781363025622e-08,7.764651277160644,61.24
