,client_list,iter_list,train_losses,train_ce_losses,test_losses,test_accuracy_list
0,1,0,177.83586872799296,139.96269462477994,2.3053244956970214,25.12
1,2,0,130.6410228587963,103.76949508101852,1.8578681274414062,36.88
2,3,0,95.07069706137663,68.42683101479524,1.5632356884002685,47.76
3,4,0,75.41204632453199,53.416051468759214,1.512826357269287,58.54
4,5,0,55.91437533332853,37.95833100603955,1.5205341430664063,59.98
5,6,0,42.66302842182165,27.53967630736564,1.6032117530822754,70.56
6,7,0,23.23539971507501,12.338734060947806,1.7301198806762694,75.33
7,8,0,15.351513569581442,8.01422571789619,1.9234372253417968,71.87
8,9,0,8.80298017418903,4.031485811052586,2.0130526847839354,71.0
9,10,0,5.225225952148437,2.4171312900119357,2.1044008422851563,75.74
10,1,1,10.344056035431338,6.0407691203372575,2.236490383911133,44.12
11,2,1,6.16729009719122,3.4049162688078702,2.2328471755981445,44.78
12,3,1,4.96994587019378,2.363849322001139,2.189326519012451,55.21
13,4,1,3.426734780365566,1.4068247597172576,2.1759942947387696,63.83
14,5,1,2.506741724331001,0.9488917312059015,2.153651667022705,73.31
15,6,1,2.3021662513837104,1.0301474454008575,2.1542678955078123,71.97
16,7,1,1.5754050864829674,0.7369710500022466,2.14890959854126,75.05
17,8,1,1.091986684959028,0.5591717331103107,2.131522333526611,80.47
18,9,1,0.9774092384006666,0.5539294198567688,2.1306301986694334,81.35
19,10,1,0.6428026411268446,0.41186711925930447,2.1032405754089356,82.36
20,1,2,0.917402616688903,0.5285953602320711,2.1095289459228517,82.65
21,2,2,0.6456435067313058,0.4060705023467856,2.1005390823364256,83.23
22,3,2,0.6414091259825463,0.35609743486042894,2.091187005615234,84.22
23,4,2,0.6024580384200474,0.39303305407740036,2.085001242828369,82.56
24,5,2,0.6244295690332392,0.4422658272774897,2.0868251182556152,85.01
25,6,2,0.6057088733262104,0.386367828965368,2.081494374847412,85.24
26,7,2,0.5310691651843843,0.35841517282728985,2.072460300445557,87.16
27,8,2,0.42640906285973235,0.27668567263214283,2.06340029296875,87.13
28,9,2,0.6401960340884363,0.3714039509475467,2.060235151672363,87.08
29,10,2,0.40078079308403863,0.2606938455369737,2.0476630851745607,88.39
30,1,3,0.6800013528743261,0.41780283081699426,2.0527944290161133,86.51
31,2,3,0.5163100610965143,0.36490451469623225,2.0479407760620116,87.79
32,3,3,0.7103554532418843,0.27219504468581257,2.046103554534912,89.22
33,4,3,0.5257805833276713,0.2727763382893688,2.0377442443847658,84.54
34,5,3,0.43356341541473276,0.27202913506004645,2.053164344787598,88.75
35,6,3,0.9214625640776523,0.22581746907444028,2.0338668685913084,87.63
36,7,3,0.5247848110616283,0.26233755575644,2.042808871459961,86.4
37,8,3,0.3538019947499536,0.19209712151042577,2.0436814743041993,87.61
38,9,3,0.5422367927114011,0.23146247533941458,2.0306183990478517,88.04
39,10,3,0.3789232546488444,0.23064791997273762,2.0280621368408203,89.21
40,1,4,0.9636214887592155,0.3449838933810382,2.032075595855713,89.12
41,2,4,0.4358634444140883,0.17148348389479218,2.0270456771850585,88.95
42,3,4,0.8603116328420203,0.19996820399963777,2.026679814147949,89.18
43,4,4,0.7551015503001663,0.2880640378538168,2.021274885559082,87.79
44,5,4,0.4066804660642279,0.1631282515191504,2.0190158660888673,88.3
45,6,4,0.6983390585243793,0.2377327787315357,2.028245844268799,87.09
46,7,4,0.3834539828306613,0.16924908415844694,2.017993256378174,86.6
47,8,4,0.27137878567146856,0.12568690656949688,2.013028692626953,89.11
48,9,4,0.8602224018262781,0.15907444501582813,2.0027629150390625,89.48
49,10,4,0.5520614963107638,0.17054160499572754,2.0054655990600585,87.38
50,1,5,0.7613557090221996,0.3742363620811785,2.0037318786621094,87.81
51,2,5,0.44451957783371054,0.13212401778609664,1.9982351821899413,87.69
52,3,5,0.429362494961109,0.19388845855114506,2.0007587997436524,89.11
53,4,5,0.2500604346113385,0.08756818411485204,1.9944188385009765,87.65
54,5,5,0.30824185649407304,0.14548830264608797,1.9954912315368651,89.75
55,6,5,0.9500701148882621,0.1972684046205512,1.9921457244873046,88.48
56,7,5,0.5108025561888706,0.16406939020488254,1.9850502990722656,87.13
57,8,5,0.284600147055514,0.10016428478603256,1.9882366302490235,88.55
58,9,5,0.41359413188436756,0.07143492967243723,1.984989697265625,89.13
59,10,5,0.3239166276719835,0.12841270234849717,1.965405751800537,87.76
60,1,6,0.8462700910971198,0.3841845619846398,1.9704031501770018,86.62
61,2,6,0.3322419666108631,0.08778948254055446,1.963763035583496,87.72
62,3,6,0.6572196000541737,0.14612558464598813,1.9704100746154785,87.54
63,4,6,0.642746943347859,0.12987019430916263,1.9595239349365234,88.29
64,5,6,0.32970440255759825,0.07409848586219703,1.958024245452881,89.03
65,6,6,1.0475930530854893,0.19016364709741249,1.9617140167236329,88.12
66,7,6,0.7126148817928908,0.20968504393883194,1.9669084808349608,87.61
67,8,6,0.5378531557221652,0.08911143654551586,1.96053221282959,89.43
68,9,6,0.3270944898778742,0.08931045098738237,1.945965615081787,88.57
69,10,6,0.3417104237874349,0.08670090611775716,1.9314934394836425,89.11
70,1,7,0.9863303815814811,0.46238605069442534,1.9352535346984863,89.55
71,2,7,0.48683979902317914,0.09362127541234254,1.9292947792053223,89.94
72,3,7,0.6541393566754908,0.09812463810241301,1.9355752632141112,89.46
73,4,7,0.5085309496465719,0.1191374569568994,1.924588942718506,90.27
74,5,7,0.3915831594009681,0.057924756264774564,1.9268576133728028,89.9
75,6,7,1.0006361716795764,0.18127638544768593,1.9161022636413574,85.9
76,7,7,0.6581028738230505,0.09835190509123538,1.923799333190918,88.92
77,8,7,0.5930807571837357,0.0734266614114772,1.9171778144836427,91.04
78,9,7,0.6012263731522993,0.05680395279948419,1.9125020713806153,90.81
79,10,7,0.3709336217244466,0.055616782930162215,1.8921765106201172,89.8
80,1,8,1.294128525425011,0.5642090649671958,1.898872071838379,90.78
81,2,8,0.5574427105131603,0.1020898112544307,1.895336240386963,91.28
82,3,8,0.99296185861226,0.1575836776907927,1.893873250579834,89.14
83,4,8,0.7361344436429581,0.11601007659480257,1.8945198417663573,90.45
84,5,8,0.4581726327593476,0.05600702102773744,1.8890942695617676,90.97
85,6,8,0.8976791972274665,0.14320106752363793,1.8946098205566406,90.25
86,7,8,1.01692195533939,0.11412346900046409,1.8929542083740234,88.36
87,8,8,0.407245147960812,0.05819325553638309,1.892672403717041,89.92
88,9,8,0.4755052153772045,0.037630828001753616,1.8890392532348632,91.6
89,10,8,0.3599524722629123,0.052370174831814234,1.8756543746948242,89.59
90,1,9,1.1425242356851066,0.6127149958006093,1.8796381950378418,89.72
91,2,9,0.4774033682686942,0.10419572598088986,1.879277458190918,89.65
92,3,9,0.45060140946332145,0.06354248679541295,1.8838271560668944,89.59
93,4,9,0.35490355626592096,0.07070456388986336,1.8745250495910644,90.28
94,5,9,0.49169418292731815,0.04471023232294625,1.8681484161376953,90.44
95,6,9,0.6314906524056187,0.11057700553685652,1.863988395690918,88.47
96,7,9,0.6626778655377441,0.058785725437689625,1.8760851737976074,90.76
97,8,9,0.2866556433992013,0.02796834993628816,1.8739460731506348,91.47
98,9,9,0.3280833474261016,0.0407818210690389,1.8586149459838868,90.93
99,10,9,0.4128642840915256,0.04657743623521593,1.8536571884155273,91.13
100,1,10,1.3513473994295362,0.8505786036101866,1.851947760772705,91.26
101,2,10,0.4267646446429863,0.09668613615490142,1.8515040130615235,90.58
102,3,10,0.5694952198103362,0.10335333051245196,1.8583856826782226,90.42
103,4,10,0.41804962338141677,0.046007228347490416,1.8583132209777833,90.38
104,5,10,0.28834563075836295,0.02815069043768288,1.8498823211669921,90.64
105,6,10,0.3942610475832486,0.043268013072845966,1.8398909149169922,88.38
106,7,10,0.34332111658123315,0.045993962343134936,1.8353847404479982,91.36
107,8,10,0.3350144860464767,0.0424643255478843,1.837928517150879,92.21
108,9,10,0.47314786534064374,0.03520922651403977,1.8212059936523437,90.25
109,10,10,0.37151562584771053,0.02661259036593967,1.8194001022338868,91.28
110,1,11,1.0887111072808924,0.6256770550365179,1.8253685028076172,90.83
111,2,11,0.570609693174009,0.15136975838393762,1.826055598449707,90.64
112,3,11,0.6074088476841746,0.05777100799909604,1.8299909637451173,90.53
113,4,11,0.4079078998205797,0.02769346057244067,1.8301858695983886,91.92
114,5,11,0.2941812853091757,0.02190191895319527,1.8308868125915527,91.77
115,6,11,0.5627736958458861,0.047567486943894705,1.804562550354004,89.37
116,7,11,0.39761863865600744,0.03154830582813867,1.8135619461059571,91.19
117,8,11,0.24264637291764413,0.010345863896375262,1.7983085403442383,91.76
118,9,11,0.37767251018478937,0.03781380342400592,1.7860230674743653,91.44
119,10,11,0.3637967232598199,0.048490608639187284,1.787386181640625,92.08
