,weight_diff_layer1,weight_diff_layer2
0,126.3737946,2.52207756
1,174.3556213,2.34450841
2,155.1844177,2.268349648
3,162.0890503,2.283106804
4,150.7986298,2.284883499
5,157.3994598,2.27940011
6,150.6372375,2.282945633
7,155.4244995,2.287677765
8,150.5489655,2.27485466
9,154.1570587,2.292705536
10,150.5830078,2.296338558
11,153.0852356,2.31962204
12,150.2238464,2.270706177
13,152.4901733,2.293131351
14,150.1122742,2.303366899
15,151.795929,2.272634983
16,150.1763916,2.271584749
17,151.1885071,2.266060352
18,150.2872314,2.260305643
19,151.363327,2.28250885
20,150.4966736,2.243899345
21,150.8695984,2.222545147
22,150.2370148,2.251427174
23,150.4907837,2.247173309
24,150.058136,2.254779339
25,118.2560425,2.19641304
26,180.2860107,2.270520687
27,160.7736969,2.264076948
28,161.2398987,2.270747185
29,152.8639221,2.258480072
30,157.7097473,2.255887508
31,149.5682678,2.230734825
32,156.4604492,2.239933491
33,150.6855164,2.253231049
34,155.1471252,2.267508507
35,149.6423645,2.256221771
36,153.3234253,2.262948036
37,149.0049438,2.247954845
38,153.3094177,2.266043186
39,149.3974915,2.25098753
40,118.5319214,2.201688051
41,181.3114319,2.274533987
42,161.6440735,2.240758419
43,161.4965515,2.241205692
44,152.333252,2.225745678
45,158.245636,2.235359669
46,149.1706696,2.23335743
47,155.7197876,2.204725742
48,150.3952637,2.25126195
49,154.3190155,2.273511648
50,150.094635,2.25994873
51,153.1004791,2.247085571
52,148.8425293,2.224935055
53,153.0756683,2.238652229
54,149.5430908,2.285182476
55,117.7482071,2.211876869
56,181.358017,2.263656616
57,161.3030396,2.263298512
58,161.2090759,2.252837896
59,152.5847778,2.2378757
60,158.443222,2.267483234
61,149.122345,2.272902489
62,155.119278,2.226821899
63,150.0871277,2.24753499
64,154.6317444,2.271354198
65,149.2011719,2.260099411
66,153.315506,2.236559868
67,148.8430634,2.227657795
68,153.1482239,2.227386951
69,149.6734009,2.238538742
70,117.6127167,2.183279037
71,181.4639587,2.263349533
72,161.6743469,2.243325233
73,161.3632813,2.253161907
74,152.0996857,2.242012024
75,158.5790863,2.225337029
76,148.9319,2.233702421
77,155.8838196,2.239314556
78,150.0253906,2.234876156
79,154.6357727,2.236473083
80,149.7096558,2.274603367
81,153.2336426,2.276032925
82,148.9002075,2.235340118
83,153.067749,2.191660404
84,149.5893707,2.230632782
85,117.2847977,2.165775776
86,182.1421204,2.264104366
87,161.7206116,2.242029905
88,161.4288483,2.247946262
89,152.0266724,2.22576952
90,158.7570343,2.237573862
91,148.7119446,2.226602554
92,155.4003906,2.237170219
93,149.8448792,2.244991302
94,154.5877686,2.268959522
95,115.6339874,2.176943302
96,180.668335,2.244052172
97,160.8360901,2.249390125
98,161.554306,2.253421307
99,150.4763489,2.23913765
100,158.8658142,2.233910322
101,148.9661713,2.231775284
102,157.7525177,2.215710163
103,151.0174866,2.239798069
104,155.2635956,2.25674057
105,116.2836609,2.171497107
106,180.1080322,2.262635231
107,162.3172607,2.22930789
108,162.5484161,2.262044907
109,151.2396851,2.222798347
110,158.4912872,2.241403818
111,149.2895355,2.218739033
112,157.0726624,2.22661829
113,150.7597351,2.257343769
114,154.9368286,2.226422071
115,116.2241516,2.181060553
116,180.9701538,2.266058445
117,161.5647888,2.199673653
118,162.0543213,2.215360165
119,150.3726501,2.243256092
120,158.4184723,2.211647749
121,148.6768036,2.236698866
122,157.2557068,2.252266884
123,150.7437134,2.232084274
124,155.071167,2.189656496
125,115.8733673,2.176037073
126,181.0414581,2.25159502
127,162.0469055,2.231116533
128,162.4948425,2.246448755
129,150.4650269,2.273647308
130,158.9147644,2.25006628
131,149.0192566,2.243353128
132,157.1075287,2.247919083
133,150.7624054,2.234744787
134,154.6275024,2.238547325
135,115.893692,2.139196157
136,181.1509399,2.284917116
137,161.7423096,2.240573645
138,162.3144531,2.212327719
139,150.6315918,2.249583721
140,158.9369202,2.213348866
141,148.6508636,2.25189352
142,156.9165649,2.26905632
143,150.6446075,2.218039274
144,154.7669983,2.206888676
145,115.9271774,2.143298149
146,181.297699,2.239178896
147,161.7952576,2.194667816
148,162.6086731,2.214515686
149,150.2242889,2.187201977
150,158.7805481,2.232135296
151,148.3961334,2.252501488
152,157.0383759,2.225306034
153,150.3226929,2.245621204
154,154.8372192,2.192492962
155,115.7203522,2.175205708
156,181.2374573,2.243846416
157,161.9156036,2.243267298
158,162.7796631,2.240636826
159,150.5062714,2.223549843
160,158.8387451,2.216788292
161,148.4068146,2.214663267
162,156.7400818,2.188574553
163,150.2939758,2.212900639
164,154.3609009,2.211104155
165,115.7232208,2.174659491
166,181.4916687,2.254722834
167,162.1459656,2.246678591
168,162.3608704,2.259309053
169,150.4116364,2.228299141
170,115.4651947,2.170170307
171,180.7848511,2.264212847
172,164.5198975,2.194992065
173,162.2652588,2.222558498
174,152.614563,2.242469311
175,114.8763428,2.182322979
176,180.6816406,2.258815289
177,163.5073547,2.227787971
178,163.8075562,2.237923145
179,153.2246094,2.251747847
180,116.1406555,2.165445805
181,182.7186432,2.254123211
182,164.0402527,2.248993874
183,162.8067932,2.229519367
184,151.9176025,2.230377674
185,116.0375061,2.157411575
186,182.7289581,2.252299547
187,165.0183716,2.211248875
188,161.4892273,2.229017735
189,151.6800385,2.216933489
190,116.4046097,2.154606819
191,183.3941345,2.287811279
192,164.464447,2.215182066
193,162.1149292,2.23315382
194,151.8637848,2.196568012
195,116.3792267,2.150002956
196,183.6623535,2.260008335
197,164.7426758,2.250576258
198,162.5576477,2.22673583
199,152.4968109,2.198553562
200,116.1152496,2.149337769
201,182.499649,2.268073559
202,164.6730499,2.190303087
203,161.5509949,2.239076138
204,152.0233154,2.254152298
205,115.9444962,2.154847383
206,183.3575592,2.257120132
207,164.8296509,2.21469903
208,161.3368835,2.19419241
209,151.6099854,2.23374176
210,115.8548584,2.202132463
211,182.848938,2.285391331
212,164.4330597,2.214851141
213,161.8957672,2.24798274
214,152.1792603,2.213755608
215,115.771843,2.164819717
216,182.832962,2.242529869
217,164.4429474,2.184233665
218,161.6052856,2.234974384
219,151.9612427,2.233966589
220,116.3693924,2.154521942
221,183.0356445,2.304541826
222,164.4665527,2.227534533
223,161.7289276,2.258501768
224,152.1930542,2.23454237
225,115.6234283,2.119712114
226,183.0839386,2.254052162
227,164.480072,2.250438929
228,162.026062,2.238219738
229,151.8770447,2.211646557
230,115.7363739,2.16662693
231,183.6061401,2.286090374
232,164.5981598,2.195110321
233,161.8562927,2.258048058
234,151.7651978,2.211225033
235,115.6788025,2.150846481
236,183.3536987,2.242502213
237,164.3072815,2.226972342
238,161.7813721,2.204814672
239,151.8986511,2.235545635
240,115.593689,2.130140066
241,183.5527496,2.270614147
242,164.4486694,2.268466711
243,162.2579651,2.20374012
244,152.0452576,2.221803188
245,115.4909363,2.150105476
246,183.4241333,2.257951736
247,108.9396515,2.156262875
248,172.6787262,2.253596544
249,111.2153931,2.130473137
250,178.1883545,2.277664661
251,114.8210449,2.152501583
252,177.0937805,2.264635563
253,114.1690369,2.132059574
254,175.5208435,2.262432098
255,114.2897339,2.150294304
256,180.1534271,2.285678864
257,113.9241943,2.162477493
258,178.5475311,2.268419266
259,113.9590607,2.170913219
260,176.3258209,2.299273491
261,114.900589,2.136899471
262,177.3532867,2.290656567
263,114.0160828,2.148147106
264,178.6392822,2.300844193
265,114.967865,2.154234886
266,177.4732056,2.268817425
267,114.7248383,2.121137619
268,177.5959625,2.287421703
269,114.3829422,2.134040594
270,179.486084,2.278194666
271,113.3208923,2.141425133
272,178.8870239,2.286068201
273,115.5396271,2.166227341
274,178.1348724,2.23961401
275,114.0967255,2.16828537
276,179.7381897,2.29438591
277,113.8667603,2.169803619
278,179.4036255,2.26778388
279,114.4370193,2.12526083
280,178.9521332,2.272547245
281,114.4565048,2.136040688
282,178.557663,2.265742779
283,113.9923859,2.152962446
284,179.3666077,2.273569107
285,114.4247513,2.18822813
286,179.1566467,2.238965034
287,114.5288086,2.164413214
288,179.0071411,2.219477654
289,114.2476044,2.159793377
290,178.9351349,2.280682564
291,114.3372421,2.140686035
292,178.9611969,2.274523258
293,114.4807205,2.129508972
294,179.364502,2.264443159
295,114.4969406,2.149945259
296,179.0101166,2.243908167
297,114.5783539,2.142627239
298,178.8740845,2.272475243
299,113.952095,2.145487785
300,179.499588,2.270458221
301,114.1497955,2.146429539
302,178.8625946,2.253355026
303,114.4562683,2.17844367
304,179.4472809,2.259256601
305,114.551712,2.167284489
306,179.27005,2.272164345
307,114.2230072,2.138620853
308,179.1707458,2.260824919
309,114.606842,2.140372753
310,179.124939,2.268780708
311,114.3114243,2.119040966
312,178.868103,2.273505211
313,114.353775,2.129557371
314,179.6158142,2.271914005
315,114.4161072,2.138750076
316,178.6640778,2.253320694
317,114.2851257,2.14000082
318,179.3371277,2.265128851
319,114.2303772,2.176401138
320,179.3467102,2.27372694
321,114.1676254,2.126528502
322,179.0805664,2.276019573
323,114.2554016,2.168871403
324,179.1069794,2.266114235
325,114.1681519,2.171187401
326,179.1696777,2.249776602
327,113.8284912,2.118908882
328,178.7636719,2.268487215
329,114.0179138,2.137677193
330,178.9954224,2.277302027
331,114.0926514,2.156033754
332,179.1659851,2.293478727
333,114.2786865,2.138380289
334,179.2721252,2.245940685
335,114.0058594,2.165169001
336,179.0372314,2.27627182
337,113.8646317,2.150656223
338,178.7991333,2.252094269
339,114.2891998,2.137478352
340,178.7163696,2.28547883
341,114.1631775,2.165739536
342,179.2617493,2.313418865
343,113.8270721,2.128088474
344,179.0934143,2.272611141
345,114.2312241,2.148486614
346,178.9834137,2.268727779
347,113.975853,2.130438805
348,179.0675964,2.254209995
349,114.2743912,2.120867491
350,179.3009796,2.279833317
351,113.9107666,2.12775445
352,179.1024475,2.250269175
353,114.0677948,2.156128883
354,178.9772339,2.294015408
355,113.9684448,2.152944803
356,179.0723114,2.280452251
357,114.0994339,2.130097151
358,179.1632996,2.257040739
359,114.1305084,2.122939587
360,179.1227875,2.295600891
361,114.0575943,2.154592991
362,179.1540833,2.250767708
363,114.2378845,2.208570957
364,179.3454285,2.272637844
365,114.178978,2.179358959
366,179.420105,2.279474258
367,113.9640427,2.159489393
368,179.389679,2.276765823
369,114.1380005,2.199855089
370,179.3455811,2.25530839
371,114.1862411,2.180740833
372,179.1901245,2.27423811
373,113.9720459,2.124829769
374,179.1372833,2.245442867
375,113.9010315,2.185134888
376,179.4819031,2.267444134
377,113.8529053,2.147122383
378,179.1774139,2.256568193
379,113.8421631,2.154125214
380,179.4627838,2.271865606
381,113.887085,2.119107723
382,179.1315613,2.271337986
383,113.7544861,2.171178341
384,178.9071808,2.261118412
385,113.7970886,2.142022133
386,179.3931732,2.284499645
387,114.0062714,2.136299133
388,179.3623962,2.280873299
389,113.9640808,2.140376091
390,179.2540283,2.2843256
391,113.6725922,2.146070957
392,179.0776062,2.27704525
393,114.1473541,2.187346935
394,179.1470947,2.278192759
395,114.0312958,2.156424522
396,179.2985535,2.293260336
397,113.6907501,2.148572922
398,179.0966492,2.272009134
399,113.67939,2.143284559
400,179.2359467,2.290588379
401,113.8297806,2.156964779
402,179.1210938,2.267559052
403,113.8125076,2.126805782
404,179.2112732,2.246687651
405,113.8077545,2.148743153
406,179.0644989,2.262675047
407,113.9595184,2.162304878
408,179.0558777,2.251045704
409,113.8430481,2.158299446
410,179.1945496,2.231128693
411,113.802536,2.165856123
412,179.515564,2.274315596
413,113.8409882,2.178967953
414,179.1207886,2.278954983
415,113.7889404,2.155745983
416,179.0752869,2.263926506
417,113.8501282,2.14146471
418,178.9501038,2.286352873
419,113.8301849,2.1460917
420,179.1564331,2.26626873
421,113.8730927,2.157258034
422,179.0782471,2.275687218
423,113.7826309,2.160395622
424,178.8843536,2.252228737
425,113.8910217,2.144032001
426,178.9768982,2.298578739
427,113.5820694,2.187693834
428,179.2213745,2.277258396
429,113.9152985,2.142890453
430,178.9390717,2.274235487
431,113.8005295,2.151863337
432,179.48703,2.297577381
433,113.7121964,2.140010595
434,178.8370361,2.24291563
435,113.8527374,2.18604517
436,178.9162598,2.278860569
437,113.7076874,2.118860245
438,179.0340881,2.25385046
439,113.6269989,2.166828156
440,179.1296997,2.272775173
441,113.9877167,2.158893585
442,179.0615387,2.253710032
443,113.8484802,2.143109322
444,179.14534,2.263082027
445,113.6917572,2.145316124
446,179.0789642,2.253225088
447,113.8447266,2.144727707
448,179.1203003,2.250992775
449,113.5719223,2.166110277
450,179.1540375,2.26640439
451,113.7698975,2.117819786
452,179.3329773,2.254779339
453,113.747551,2.201869249
454,178.8724213,2.276649475
455,113.916153,2.141194105
456,179.0718689,2.265131712
457,113.6505737,2.158844471
458,178.8388519,2.283168316
459,113.6774673,2.149626493
460,179.0354156,2.260833025
461,113.6551056,2.145910025
462,179.1257629,2.269190788
463,113.7091675,2.15220499
464,179.104248,2.292383194
465,113.6552582,2.180141926
466,179.3344879,2.30393219
467,113.7694092,2.155256748
468,179.0741119,2.28047061
469,113.7383575,2.150955677
470,178.6465759,2.284623146
471,113.752655,2.16192174
472,179.0495911,2.26697588
473,113.6207275,2.149321556
474,179.0831909,2.230036736
475,113.6552734,2.147637844
476,179.0968323,2.288064718
477,113.8538208,2.131038189
478,179.1931763,2.281128645
479,113.6889114,2.168949604
480,178.9279022,2.281170845
481,113.7776566,2.163852692
482,178.9446564,2.294074535
483,114.0475769,2.149731636
484,178.9632874,2.227539539
485,113.6656494,2.137949467
486,179.0627594,2.297708035
487,113.6477814,2.143797874
488,178.8927155,2.250098228
489,113.5608521,2.121524334
490,178.9018555,2.279358864
491,113.5222549,2.163904667
492,179.0296783,2.276138783
493,113.686264,2.146821022
494,179.194519,2.278941631
495,113.6553802,2.155477047
496,179.2595673,2.28878665
497,113.629837,2.107177019
498,179.0769043,2.27479744
499,113.5560913,2.153696299
500,178.9801636,2.263584852
501,113.5648727,2.162124395
502,179.2254333,2.288284779
503,113.736969,2.191720009
504,179.0426025,2.258831024
505,113.6407471,2.113527536
506,179.1279907,2.280559063
507,113.5987244,2.150268078
508,178.6611023,2.263015032
509,113.4661407,2.154292583
510,179.1670532,2.291592598
511,113.6565323,2.133023024
512,178.9461823,2.240820885
513,113.3946533,2.149237871
514,179.2295532,2.276209354
515,113.6221924,2.153523445
516,178.6907349,2.257809877
517,113.7186584,2.135229588
518,178.823822,2.244595528
