,client_list,iter_list,train_losses,train_ce_losses,test_losses,test_accuracy_list
0,0,0,0.11100316767259077,0.11100316767259077,20.039957751464843,30.51
1,10,0,0.13945201399833906,0.13945201399833906,9.614966598510742,38.43
2,1,0,0.09846851329209157,0.09846851329209157,12.415370227050781,40.18
3,14,0,0.1537887097263422,0.1537887097263422,5.217655128479004,47.9
4,2,0,0.10986957108102194,0.10986957108102194,9.38386849822998,36.91
5,9,0,0.1460800204923515,0.1460800204923515,4.754290499877929,40.18
6,11,0,0.21379961599497163,0.21379961599497163,14.891338244628907,31.7
7,18,0,0.15268094385333136,0.15268094385333136,9.320939462280274,37.91
8,15,0,0.05930710718711121,0.05930710718711121,12.961469604492187,37.86
9,12,0,0.10069849641667199,0.10069849641667199,16.050400088500975,39.83
10,6,0,0.16132625820864346,0.16132625820864346,11.13434405517578,38.49
11,4,0,0.11766300496892032,0.11766300496892032,15.406445623779296,33.7
12,8,0,0.10146967784023955,0.10146967784023955,14.306432141113282,36.65
13,3,0,0.08142609139011331,0.08142609139011331,8.552370930480958,43.19
14,13,0,0.14268669455031122,0.14268669455031122,11.281446374511718,31.61
15,19,0,0.12456816125899339,0.12456816125899339,7.631374877929687,48.05
16,5,0,0.1092922045228251,0.1092922045228251,8.706916439819336,43.27
17,17,0,0.14986183762237468,0.14986183762237468,4.19330595626831,46.94
18,16,0,0.11556084574579616,0.11556084574579616,25.004602056884767,24.86
19,7,0,0.1325612941794628,0.1325612941794628,8.816061502075195,42.35
20,3,1,0.07103544464575827,0.07103544464575827,18.201072723388673,41.31
21,16,1,0.07140014467513077,0.07140014467513077,35.421952075195314,24.58
22,6,1,0.08929151893594828,0.08929151893594828,18.110705255126952,41.43
23,11,1,0.09326285059477796,0.09326285059477796,23.722579064941407,32.87
24,13,1,0.1449684923058314,0.1449684923058314,16.199022106933594,33.82
25,10,1,0.09643610354014719,0.09643610354014719,14.394660598754882,40.97
26,4,1,0.11788432147258367,0.11788432147258367,15.87261107788086,33.84
27,1,1,0.07965874613146429,0.07965874613146429,26.278403735351564,38.69
28,17,1,0.06935661646324819,0.06935661646324819,7.6599151794433595,45.88
29,12,1,0.07548209563973024,0.07548209563973024,30.86072936401367,40.29
30,15,1,0.04874445212877184,0.04874445212877184,26.432663940429688,35.41
31,18,1,0.08064209089131386,0.08064209089131386,12.160169610595704,40.25
32,8,1,0.042112192727922,0.042112192727922,23.014388220214844,37.15
33,0,1,0.0994590236490423,0.0994590236490423,24.514566766357422,32.17
34,9,1,0.07513138691341233,0.07513138691341233,7.61745015411377,44.23
35,2,1,0.07961492933878085,0.07961492933878085,16.448639181518555,36.78
36,7,1,0.059529157872337896,0.059529157872337896,15.486945254516602,42.21
37,5,1,0.08766574632865072,0.08766574632865072,18.890166394042968,42.56
38,19,1,0.10355445484387979,0.10355445484387979,10.724545970153809,50.28
39,14,1,0.11513454435539074,0.11513454435539074,8.418066082763671,46.22
